epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.119,0.58418,3.57852,0.99244,0.04142,0.95979,0.09579,0.08617,0.39638,3.40412,0.82081,0.000203252,0.000203252,0.000203252
2,269.82,0.53024,2.85038,0.97315,0.24916,0.36675,0.11071,0.09972,0.40155,3.01867,0.82634,0.000403436,0.000403436,0.000403436
3,406.997,0.5321,2.63899,0.97506,0.08447,0.47961,0.12762,0.1165,0.41728,2.83957,0.84515,0.00059537,0.00059537,0.00059537
4,541.872,0.50255,2.4641,0.94137,0.38312,0.21205,0.16156,0.14781,0.40298,2.61612,0.83033,0.000587875,0.000587875,0.000587875
5,677.531,0.51044,2.35795,0.95525,0.40259,0.38807,0.17876,0.1575,0.41254,2.5494,0.81911,0.0005755,0.0005755,0.0005755
6,813.037,0.4901,2.2384,0.95143,0.38277,0.43468,0.17851,0.16021,0.46253,2.39735,0.84462,0.000563125,0.000563125,0.000563125
7,949.382,0.4999,2.11658,0.95537,0.43218,0.3751,0.25871,0.24249,0.35459,2.20706,0.79565,0.00055075,0.00055075,0.00055075
8,1085.42,0.46107,2.10417,0.92742,0.43766,0.42697,0.24232,0.22969,0.3135,2.31461,0.78491,0.000538375,0.000538375,0.000538375
9,1220.03,0.43864,1.95391,0.90819,0.57894,0.31314,0.26415,0.24237,0.3283,2.11988,0.78595,0.000526,0.000526,0.000526
10,1354.16,0.42814,1.87597,0.90443,0.30562,0.47224,0.27365,0.25413,0.33181,2.18552,0.78579,0.000513625,0.000513625,0.000513625
11,1488.11,0.42275,1.81206,0.90511,0.50202,0.40995,0.32004,0.29823,0.33418,2.02262,0.79562,0.00050125,0.00050125,0.00050125
12,1622.1,0.42345,1.75173,0.91027,0.53715,0.34604,0.34599,0.31893,0.33425,1.97173,0.80337,0.000488875,0.000488875,0.000488875
13,1756,0.42821,1.78341,0.91,0.56159,0.39584,0.39184,0.3686,0.30389,1.67918,0.78581,0.0004765,0.0004765,0.0004765
14,1890.58,0.39724,1.67788,0.89497,0.4877,0.45937,0.3764,0.35762,0.29663,1.84457,0.77553,0.000464125,0.000464125,0.000464125
15,2028.44,0.41295,1.61871,0.90266,0.50734,0.46011,0.39266,0.37075,0.30773,1.87688,0.78525,0.00045175,0.00045175,0.00045175
16,2163.39,0.40131,1.57794,0.89529,0.61305,0.44447,0.4394,0.4171,0.30199,1.6135,0.7865,0.000439375,0.000439375,0.000439375
17,2297.34,0.39362,1.5906,0.89221,0.49703,0.46012,0.44321,0.42639,0.27981,1.503,0.77728,0.000427,0.000427,0.000427
18,2431.75,0.38306,1.48054,0.88965,0.74004,0.38721,0.4116,0.38238,0.29853,1.75738,0.78567,0.000414625,0.000414625,0.000414625
19,2565.96,0.38921,1.45913,0.88966,0.62976,0.45779,0.43079,0.41042,0.2798,1.50872,0.76472,0.00040225,0.00040225,0.00040225
20,2699.9,0.37632,1.42162,0.88654,0.67633,0.48435,0.48265,0.45695,0.30393,1.46742,0.78721,0.000389875,0.000389875,0.000389875
21,2836.31,0.37924,1.41705,0.889,0.55526,0.5601,0.47638,0.44892,0.27552,1.33744,0.77269,0.0003775,0.0003775,0.0003775
22,2970.16,0.3722,1.36417,0.87954,0.61885,0.53558,0.48753,0.45896,0.28737,1.31821,0.77695,0.000365125,0.000365125,0.000365125
23,3103.96,0.36329,1.34477,0.87843,0.69317,0.48975,0.5313,0.50467,0.27908,1.29119,0.77527,0.00035275,0.00035275,0.00035275
24,3237.75,0.35679,1.2578,0.87086,0.62556,0.49078,0.49254,0.46715,0.26844,1.40033,0.77778,0.000340375,0.000340375,0.000340375
25,3371.85,0.35334,1.30599,0.87497,0.7303,0.48534,0.52783,0.50734,0.26896,1.26574,0.77504,0.000328,0.000328,0.000328
26,3506.62,0.34365,1.21119,0.87229,0.69693,0.52815,0.52647,0.4963,0.27489,1.41705,0.78121,0.000315625,0.000315625,0.000315625
27,3640.65,0.349,1.24409,0.87387,0.7502,0.51509,0.55351,0.52756,0.27319,1.24953,0.78368,0.00030325,0.00030325,0.00030325
28,3775.39,0.34312,1.18166,0.86927,0.8014,0.49969,0.60008,0.57242,0.26244,1.22552,0.77318,0.000290875,0.000290875,0.000290875
29,3910.53,0.349,1.19815,0.87366,0.80209,0.47023,0.55688,0.52781,0.26936,1.19137,0.77071,0.0002785,0.0002785,0.0002785
30,4045.53,0.31728,1.09626,0.85618,0.8237,0.53112,0.61276,0.58507,0.26042,1.1337,0.77436,0.000266125,0.000266125,0.000266125
31,4180,0.33358,1.09224,0.86965,0.84151,0.54879,0.61453,0.58267,0.26033,1.02841,0.77252,0.00025375,0.00025375,0.00025375
32,4314.57,0.34178,1.08652,0.8708,0.76399,0.53724,0.58803,0.56376,0.26138,1.09955,0.77384,0.000241375,0.000241375,0.000241375
