epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.532,2.57486,4.73052,2.58258,0.00161,0.07928,0.00735,0.00176,2.56412,4.81321,2.67184,0.00014544,0.00014544,0.00014544
2,69.2497,2.45171,4.78359,2.36887,0.00369,0.15065,0.01446,0.00422,2.33572,4.63075,2.4026,0.000294031,0.000294031,0.000294031
3,103.433,2.36511,4.66148,2.23978,0.00383,0.19334,0.00967,0.00603,2.27692,4.50477,2.11016,0.000436502,0.000436502,0.000436502
4,136.965,2.17736,4.37035,2.01596,0.00394,0.22169,0.01017,0.00664,2.31252,4.49295,2.0936,0.000572854,0.000572854,0.000572854
5,170.894,2.30544,4.41395,2.11611,0.00441,0.28538,0.00794,0.00387,2.26359,4.42282,2.10486,0.000703086,0.000703086,0.000703086
6,204.46,2.23725,4.22351,2.07651,0.73355,0.02694,0.01744,0.00939,2.36002,4.2061,2.20962,0.000819009,0.000819009,0.000819009
7,238.186,2.31257,4.11375,2.07777,0.87028,0.03896,0.03072,0.01732,2.3123,4.30974,2.22613,0.000801011,0.000801011,0.000801011
8,272.751,2.08681,3.88343,1.96758,0.59893,0.02597,0.03165,0.01823,2.32146,4.23009,2.22004,0.000783013,0.000783013,0.000783013
9,307.303,2.12262,4.06989,2.01291,0.17514,0.06307,0.02598,0.01229,2.22908,4.1867,2.17365,0.000765014,0.000765014,0.000765014
10,341.292,2.01398,3.69044,1.84334,0.18345,0.06839,0.03939,0.01572,2.2733,4.14541,2.18814,0.000747016,0.000747016,0.000747016
11,375.169,2.0642,3.72861,1.94679,0.2146,0.08615,0.06318,0.01608,2.30647,3.9933,2.24976,0.000729018,0.000729018,0.000729018
12,408.937,2.06297,3.7549,1.94569,0.05906,0.09885,0.0842,0.02358,2.39138,3.95074,2.27743,0.00071102,0.00071102,0.00071102
13,442.79,2.08577,3.73354,1.91144,0.08655,0.09596,0.08104,0.0367,2.31349,3.95674,2.19953,0.000693022,0.000693022,0.000693022
14,476.935,1.93881,3.37061,1.84792,0.27009,0.08658,0.08246,0.03861,2.28734,3.96805,2.18729,0.000675023,0.000675023,0.000675023
15,510.665,2.06097,3.50948,1.91403,0.23763,0.08517,0.06657,0.03486,2.29718,3.98176,2.18947,0.000657025,0.000657025,0.000657025
16,544.271,1.90371,3.43436,1.84066,0.25003,0.10606,0.06462,0.03037,2.34691,4.07526,2.26401,0.000639027,0.000639027,0.000639027
17,578.115,1.86658,3.22282,1.79692,0.23829,0.10606,0.05961,0.0237,2.36609,4.07043,2.2852,0.000621029,0.000621029,0.000621029
18,611.653,1.91219,3.28307,1.84667,0.40457,0.04545,0.06246,0.0294,2.34741,4.07888,2.2364,0.000603031,0.000603031,0.000603031
19,645.162,1.84009,3.4074,1.81237,0.65648,0.04545,0.06545,0.04179,2.27105,4.20374,2.17035,0.000585032,0.000585032,0.000585032
